DecayParticle1_Name DecayParticle1_isBoson DecayParticle1_mass DecayParticle1_E DecayParticle1_px DecayParticle1_py DecayParticle1_pz DecayParticle2_Name DecayParticle2_isBoson DecayParticle2_mass DecayParticle2_E DecayParticle2_px DecayParticle2_py DecayParticle2_pz
W+ 1 80.4 181.125 67 -53 138 W- 1 80.4 159.782 -128 9 -51
b_quark 0 4.18 97.8543 83 -50 -13 b_quark 0 4.18 170.16 -127 78 -82
W+ 1 80.4 176.653 18 -53 -147 W- 1 80.4 230.879 -66 41 202
W+ 1 80.4 123.528 -59 33 65 W- 1 80.4 184.635 101 55 -120
Z 1 91.2 217.496 147 77 -107 Z 1 91.2 298.241 -139 -150 197
b_quark 0 4.18 211.299 -150 -41 -143 b_quark 0 4.18 95.9556 55 -9 78
W+ 1 80.4 117.873 55 7 -66 W- 1 80.4 131.993 -101 26 -9
Z 1 91.2 144.829 -72 -43 -75 Z 1 91.2 205.052 158 37 86
b_quark 0 4.18 103.574 39 -33 -90 b_quark 0 4.18 228.761 -139 112 143
W+ 1 80.4 234.419 -96 146 -134 W- 1 80.4 257.723 41 -90 224
b_quark 0 4.18 81.7709 40 35 62 b_quark 0 4.18 91.8394 -48 -73 -28
tau+ 0 1.78 130.458 -118 -34 44 tau- 0 1.78 190.295 177 -64 -28
b_quark 0 4.18 141.483 116 80 12 b_quark 0 4.18 185.368 -182 -8 -34
b_quark 0 4.18 168.987 -93 87 -111 b_quark 0 4.18 208.86 134 -145 68
b_quark 0 4.18 203.082 145 -138 34 b_quark 0 4.18 274.877 -158 224 20
b_quark 0 4.18 150.514 -128 78 -13 b_quark 0 4.18 162.143 111 -104 56
b_quark 0 4.18 121.715 -96 -35 66 b_quark 0 4.18 148.049 114 21 -92
W+ 1 80.4 217.152 123 -79 139 W- 1 80.4 290.472 -218 115 -131
W+ 1 80.4 152.267 9 -112 -64 W- 1 80.4 154.561 -26 93 90
b_quark 0 4.18 204.094 -145 136 46 b_quark 0 4.18 199.051 56 -138 -132
W+ 1 80.4 165.394 59 -119 57 W- 1 80.4 147.15 -110 55 -8
b_quark 0 4.18 102.135 -3 81 -62 b_quark 0 4.18 170.785 -90 -113 91
b_quark 0 4.18 63.3914 34 -53 6 b_quark 0 4.18 68.9599 -21 61 -24
b_quark 0 4.18 91.5449 -25 -57 -67 b_quark 0 4.18 159.419 -73 72 122
b_quark 0 4.18 136.365 123 -43 40 b_quark 0 4.18 191.132 -183 0 -55
b_quark 0 4.18 168.504 -134 -58 84 b_quark 0 4.18 133.523 65 115 -19
b_quark 0 4.18 172.286 150 82 21 b_quark 0 4.18 74.3739 -67 -31 8
W+ 1 80.4 204.067 -123 -27 -139 W- 1 80.4 241.274 127 -32 186
W+ 1 80.4 148.075 83 82 43 W- 1 80.4 208.514 -137 -113 -74
b_quark 0 4.18 126.627 44 -116 -25 b_quark 0 4.18 120.014 51 93 -56
b_quark 0 4.18 181.523 -74 -129 -104 b_quark 0 4.18 147.307 33 143 12
W+ 1 80.4 102.981 -42 -44 -21 W- 1 80.4 96.1153 -42 31 -7
b_quark 0 4.18 113.082 5 36 -107 b_quark 0 4.18 193.836 -15 -9 193
b_quark 0 4.18 170.128 -106 91 -97 b_quark 0 4.18 131.44 53 -17 119
b_quark 0 4.18 171.346 65 -54 149 b_quark 0 4.18 261.028 -161 121 -166
b_quark 0 4.18 136.885 -100 64 68 b_quark 0 4.18 250.554 178 -160 -74
b_quark 0 4.18 133.684 117 42 49 b_quark 0 4.18 209.956 -164 -128 -28
Z 1 91.2 158.324 -107 -44 -58 Z 1 91.2 107.729 26 -26 44
b_quark 0 4.18 75.6272 7 73 18 b_quark 0 4.18 155.755 -81 -116 -65
b_quark 0 4.18 199.29 117 111 -117 b_quark 0 4.18 231.315 -210 -67 70
b_quark 0 4.18 124.03 -121 -26 -7 b_quark 0 4.18 137.624 117 55 47
b_quark 0 4.18 203.402 57 -135 141 b_quark 0 4.18 162.02 -130 78 -57
b_quark 0 4.18 131.204 -54 85 -84 b_quark 0 4.18 180.805 133 -122 10
b_quark 0 4.18 114.562 -43 73 -77 b_quark 0 4.18 143.776 137 -38 21
tau+ 0 1.78 164.135 51 -60 -144 tau- 0 1.78 161.605 6 146 69
b_quark 0 4.18 160.967 121 -76 -74 b_quark 0 4.18 186.726 -28 129 132
b_quark 0 4.18 88.1162 21 -75 -41 b_quark 0 4.18 148.123 19 141 -41
b_quark 0 4.18 170.802 -144 -32 -86 b_quark 0 4.18 157.107 132 4 85
b_quark 0 4.18 46.6848 -3 37 -28 b_quark 0 4.18 112.051 37 -105 12
b_quark 0 4.18 177.729 -135 -24 -113 b_quark 0 4.18 144.438 136 18 45
Z 1 91.2 135.508 24 -90 37 Z 1 91.2 93.5224 20 2 5
W+ 1 80.4 191.672 -123 59 -108 W- 1 80.4 172.491 100 -8 115
W+ 1 80.4 192.336 -118 -54 117 W- 1 80.4 183.669 55 151 -38
b_quark 0 4.18 104.606 -58 -75 -44 b_quark 0 4.18 175.532 105 -13 140
b_quark 0 4.18 185.98 -67 141 -101 b_quark 0 4.18 218.75 68 -201 53
b_quark 0 4.18 71.9338 50 49 -16 b_quark 0 4.18 85.8282 7 -72 46
b_quark 0 4.18 142.35 -79 9 -118 b_quark 0 4.18 191.014 18 89 168
b_quark 0 4.18 89.6575 52 31 -66 b_quark 0 4.18 208.726 -141 68 138
b_quark 0 4.18 159.811 36 149 -45 b_quark 0 4.18 158.929 -122 -94 -39
W+ 1 80.4 165.11 -32 -27 138 W- 1 80.4 174.806 -54 36 -141
b_quark 0 4.18 77.5917 -25 -7 -73 b_quark 0 4.18 107.682 81 61 36
b_quark 0 4.18 74.1045 -57 47 4 b_quark 0 4.18 139.798 -13 -126 -59
b_quark 0 4.18 214.503 -144 87 133 b_quark 0 4.18 131.622 73 -37 -103
b_quark 0 4.18 51.6379 -22 -41 22 b_quark 0 4.18 94.4006 -53 -1 78
b_quark 0 4.18 100.987 -78 64 1 b_quark 0 4.18 100.297 15 -4 -99
b_quark 0 4.18 222.042 144 90 -143 b_quark 0 4.18 255.743 -227 -103 57
b_quark 0 4.18 151.797 -77 130 14 b_quark 0 4.18 250.327 137 -191 -86
b_quark 0 4.18 112.883 72 71 -50 b_quark 0 4.18 157.907 -153 -38 -8
b_quark 0 4.18 146.569 7 146 10 b_quark 0 4.18 130.608 54 -61 -102
b_quark 0 4.18 160.918 -76 -126 65 b_quark 0 4.18 197.176 -21 116 -158
b_quark 0 4.18 217.494 -122 -149 -101 b_quark 0 4.18 314.666 127 218 188
b_quark 0 4.18 147.399 138 -19 48 b_quark 0 4.18 222.375 -210 73 -2
b_quark 0 4.18 176.359 48 109 130 b_quark 0 4.18 156.45 -131 -67 -53
b_quark 0 4.18 148.147 37 31 -140 b_quark 0 4.18 69.7673 35 -5 60
b_quark 0 4.18 114.702 -75 25 -83 b_quark 0 4.18 139.271 53 21 127
W+ 1 80.4 122.14 -67 -46 -43 W- 1 80.4 150.832 85 94 15
b_quark 0 4.18 157.472 -82 130 34 b_quark 0 4.18 146.012 18 -137 -47
b_quark 0 4.18 187.22 -149 17 -112 b_quark 0 4.18 280.27 243 66 123
b_quark 0 4.18 193.632 116 146 52 b_quark 0 4.18 211.307 -60 -157 -128
b_quark 0 4.18 190.742 60 -107 146 b_quark 0 4.18 195.669 -118 123 -96
b_quark 0 4.18 197.45 55 -138 130 b_quark 0 4.18 228.043 -59 43 -216
b_quark 0 4.18 104.19 78 -65 -23 b_quark 0 4.18 112.568 -15 102 -45
Z 1 91.2 250.407 -117 -136 149 Z 1 91.2 219.639 148 56 -122
b_quark 0 4.18 104.305 -50 89 -21 b_quark 0 4.18 169.016 118 -120 15
b_quark 0 4.18 176.016 -72 102 -124 b_quark 0 4.18 182.788 -24 -133 123
b_quark 0 4.18 54.5754 -6 3 54 b_quark 0 4.18 56.8108 35 31 -32
b_quark 0 4.18 146.279 106 100 -12 b_quark 0 4.18 146.026 -136 -53 1
W+ 1 80.4 155.872 -98 88 22 W- 1 80.4 270.328 186 -151 -96
b_quark 0 4.18 142.266 -54 -91 -95 b_quark 0 4.18 152.235 33 55 138
tau+ 0 1.78 85.277 2 -44 73 tau- 0 1.78 45.4661 -32 28 -16
W+ 1 80.4 163.821 49 -134 -4 W- 1 80.4 257.785 30 225 92
b_quark 0 4.18 158.828 -146 -58 -23 b_quark 0 4.18 177.332 156 -42 -73
b_quark 0 4.18 95.197 70 -44 -47 b_quark 0 4.18 111.582 -56 96 -9
b_quark 0 4.18 35.3196 22 -11 -25 b_quark 0 4.18 78.9713 -39 -63 -27
W+ 1 80.4 146.373 28 119 4 W- 1 80.4 209.996 -63 -167 -76
b_quark 0 4.18 115.354 102 -22 49 b_quark 0 4.18 178.414 -117 115 -70
b_quark 0 4.18 94.48 72 61 -2 b_quark 0 4.18 200.578 -158 -119 33
W+ 1 80.4 134.611 46 -96 -18 W- 1 80.4 151.569 -106 67 28
b_quark 0 4.18 166.176 -124 -110 -11 b_quark 0 4.18 253.398 170 187 18
b_quark 0 4.18 125.046 -27 79 93 b_quark 0 4.18 78.2207 71 -24 -22
b_quark 0 4.18 154.251 -60 -120 76 b_quark 0 4.18 252.213 157 143 -136
